task,#examples,#sketched,time(s)
ours,30,5,0.21
ours,40,5,0.24
ours,50,5,0.28
ours,60,5,0.33
ours,70,5,0.39
ours,80,5,0.44
ours,90,5,0.48
ours,100,5,0.64
potassco,2,5,0.52
potassco,4,5,0.32
potassco,6,5,0.35
potassco,8,5,0.5
potassco,10,5,0.3
potassco,12,5,0.31
potassco,14,5,0.37
potassco,16,5,0.38
potassco,18,5,0.36
potassco,20,5,0.38
potassco,20,5,0.38
potassco,30,5,0.4
potassco,40,5,0.48
potassco,50,5,0.56
potassco,60,5,0.81
potassco,70,5,0.75
potassco,80,5,0.83
potassco,90,5,0.89
potassco,100,5,0.96
hakank,2,5,0.09
hakank,4,5,0.09
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.07
hakank,12,5,0.08
hakank,14,5,0.08
hakank,16,5,0.08
hakank,18,5,0.09
hakank,20,5,0.09
hakank,20,5,0.09
hakank,30,5,0.28
hakank,40,5,0.11
hakank,50,5,0.13
hakank,60,5,0.14
hakank,70,5,0.15
hakank,80,5,0.16
hakank,90,5,0.17
hakank,100,5,0.17
tson,2,5,0.42
tson,4,5,0.46
tson,6,5,0.48
tson,8,5,0.5
tson,10,5,0.53
tson,12,5,0.56
tson,14,5,0.59
tson,16,5,0.58
tson,18,5,0.75
tson,20,5,0.59
tson,20,5,0.6
tson,30,5,0.78
tson,40,5,0.92
tson,50,5,1.24
tson,60,5,1.25
tson,70,5,1.45
tson,80,5,1.79
tson,90,5,1.67
tson,100,5,2.13
ours,2,5,0.12
ours,4,5,0.11
ours,6,5,0.12
ours,8,5,0.13
ours,10,5,0.14
ours,12,5,0.15
ours,14,5,0.16
ours,16,5,0.18
ours,18,5,0.19
ours,20,5,0.2
ours,20,5,0.2
ours,30,5,0.25
ours,40,5,0.28
ours,50,5,0.34
ours,60,5,0.39
ours,70,5,0.44
ours,80,5,0.5
ours,90,5,0.55
ours,100,5,0.61
potassco,2,5,0.1
potassco,4,5,0.11
potassco,6,5,0.12
potassco,8,5,0.15
potassco,10,5,0.16
potassco,12,5,0.18
potassco,14,5,0.2
potassco,16,5,0.22
potassco,18,5,0.25
potassco,20,5,0.27
potassco,20,5,0.26
potassco,30,5,0.36
potassco,40,5,0.46
potassco,50,5,0.56
potassco,60,5,0.65
potassco,70,5,0.75
potassco,80,5,0.84
potassco,90,5,0.95
potassco,100,5,1.05
hakank,2,5,0.17
hakank,4,5,0.1
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.1
