task,#examples,#sketched,#solutions,#before_dominance
potassco,2,5,14,189
potassco,4,5,6,90
potassco,6,5,6,45
potassco,8,5,6,45
potassco,10,5,6,45
potassco,12,5,6,45
potassco,14,5,6,45
potassco,16,5,6,45
potassco,18,5,6,45
potassco,20,5,6,45
potassco,20,5,6,45
potassco,30,5,6,45
potassco,40,5,6,45
potassco,50,5,6,45
potassco,60,5,6,45
potassco,70,5,6,45
potassco,80,5,6,45
potassco,90,5,6,45
potassco,100,5,6,45
hakank,2,5,2,54
hakank,4,5,2,54
hakank,6,5,2,18
hakank,8,5,2,18
hakank,10,5,2,18
hakank,12,5,2,18
hakank,14,5,2,18
hakank,16,5,2,18
hakank,18,5,2,18
hakank,20,5,2,18
hakank,20,5,2,18
hakank,30,5,2,18
hakank,40,5,2,18
hakank,50,5,2,18
hakank,60,5,2,18
hakank,70,5,2,18
hakank,80,5,2,18
hakank,90,5,2,18
hakank,100,5,2,18
tson,2,5,28,1818
tson,4,5,27,1674
tson,6,5,27,1602
tson,8,5,27,1602
tson,10,5,27,1602
tson,12,5,27,1578
tson,14,5,27,1578
tson,16,5,27,1578
tson,18,5,27,1578
tson,20,5,27,1578
tson,20,5,27,1578
tson,30,5,27,1578
tson,40,5,27,1578
tson,50,5,27,1578
tson,60,5,27,1578
tson,70,5,27,1578
tson,80,5,27,1578
tson,90,5,27,1578
tson,100,5,27,1578
ours,2,5,10,198
ours,4,5,10,198
ours,6,5,10,198
ours,8,5,10,198
ours,10,5,10,198
ours,12,5,10,198
ours,14,5,10,198
ours,16,5,10,198
ours,18,5,10,198
ours,20,5,10,198
ours,20,5,10,198
ours,30,5,10,198
ours,40,5,10,198
ours,50,5,10,198
ours,60,5,10,198
ours,70,5,10,198
ours,80,5,10,198
ours,90,5,10,198
ours,100,5,10,198
potassco,2,5,26,390
potassco,4,5,11,171
potassco,6,5,11,165
potassco,8,5,11,165
potassco,10,5,11,159
potassco,12,5,11,159
potassco,14,5,11,159
potassco,16,5,11,159
potassco,18,5,11,159
potassco,20,5,11,159
potassco,20,5,11,159
potassco,30,5,11,159
potassco,40,5,11,159
potassco,50,5,11,159
potassco,60,5,11,159
potassco,70,5,11,159
potassco,80,5,11,159
potassco,90,5,11,159
potassco,100,5,11,159
hakank,2,5,16,76
hakank,4,5,6,26
hakank,6,5,6,24
hakank,8,5,6,24
hakank,10,5,6,18
hakank,12,5,5,17
hakank,14,5,5,17
hakank,16,5,5,17
hakank,18,5,5,17
hakank,20,5,5,17
hakank,20,5,5,17
hakank,30,5,5,17
hakank,40,5,5,17
hakank,50,5,5,17
hakank,60,5,5,17
hakank,70,5,5,17
hakank,80,5,5,17
hakank,90,5,5,17
hakank,100,5,5,17
tson,2,5,24,2673
tson,4,5,21,2277
tson,6,5,21,2277
tson,8,5,21,2277
tson,10,5,21,2277
tson,12,5,21,2277
tson,14,5,21,2277
tson,16,5,21,2277
tson,18,5,21,2277
tson,20,5,21,2277
tson,20,5,21,2277
tson,30,5,21,2277
tson,40,5,21,2277
tson,50,5,21,2277
tson,60,5,21,2277
tson,70,5,21,2277
tson,80,5,21,2277
tson,90,5,21,2277
tson,100,5,21,2277
ours,2,5,7,28
ours,4,5,7,28
ours,6,5,7,28
ours,8,5,7,28
ours,10,5,7,28
ours,12,5,7,28
ours,14,5,7,28
ours,16,5,7,28
ours,18,5,7,28
ours,20,5,7,28
ours,20,5,7,28
ours,30,5,7,28
ours,40,5,7,28
ours,50,5,7,28
ours,60,5,7,28
ours,70,5,7,28
ours,80,5,7,28
ours,90,5,7,28
ours,100,5,7,28
potassco,2,5,28,726
potassco,4,5,14,345
potassco,6,5,13,303
potassco,8,5,13,303
potassco,10,5,13,303
potassco,12,5,13,303
potassco,14,5,13,303
potassco,16,5,13,303
potassco,18,5,13,303
potassco,20,5,13,303
potassco,20,5,13,303
potassco,30,5,13,303
potassco,40,5,13,303
potassco,50,5,13,303
potassco,60,5,13,303
potassco,70,5,13,303
potassco,80,5,13,303
potassco,90,5,13,303
potassco,100,5,13,303
hakank,2,5,12,39
hakank,4,5,4,13
hakank,6,5,4,12
hakank,8,5,4,12
hakank,10,5,4,12
hakank,12,5,4,8
hakank,14,5,4,8
hakank,16,5,4,8
hakank,18,5,4,8
hakank,20,5,4,8
hakank,20,5,4,8
hakank,30,5,4,6
